"Car.WheelSpd_FL","Car.WheelSpd_FR","Car.WheelSpd_RL","Car.WheelSpd_RR","Car.v","Time"
"C1","C1","C1","C1","C1","C1"
"rad/s","rad/s","rad/s","rad/s","m/s","s"
14.18325615,17.45174217,14.03170395,14.02898788,4.420373917,0.731
14.4382658,17.47462654,14.27652168,14.27517796,4.498959064,0.741
14.69237137,17.50422859,14.52046585,14.52063942,4.577287197,0.751
14.94559097,17.54029274,14.76360893,14.76545143,4.65536356,0.761
15.1979475,17.58262062,15.00602818,15.00962257,4.733192444,0.771
15.44941902,17.63110733,15.24778271,15.2531662,4.810777187,0.781
15.70002079,17.68565178,15.48885822,15.49615765,4.88811779,0.791
15.95006943,17.74577141,15.72925854,15.73862267,4.965215683,0.801
16.19994545,17.81095886,15.96902084,15.98057365,5.042075634,0.811
16.44895363,17.88189888,16.20820045,16.22196579,5.118702412,0.821
16.69677734,17.9594059,16.4467411,16.46273232,5.195087433,0.831
16.94423294,18.04236031,16.68468285,16.70297813,5.271217823,0.841
17.19278908,18.12725449,16.92230797,16.94299889,5.347120762,0.851
17.45506096,18.18018723,17.16302872,17.18670845,5.423096657,0.861
17.72796249,18.21180725,17.40456009,17.43161964,5.49968195,0.871
17.98752594,18.26508904,17.64599419,17.67565155,5.576547623,0.881
18.22830391,18.36927032,17.8824482,17.91362953,5.653044701,0.891
18.43168449,18.55466843,18.11383247,18.1445713,5.728086472,0.901
18.6411972,18.75524521,18.34183311,18.37184525,5.801427841,0.911
18.85451508,18.96513176,18.56729126,18.59693336,5.873497486,0.921
19.07247543,19.18002129,18.7913475,18.82118225,5.944759846,0.931
19.29368401,19.39786148,19.01484871,19.04535675,6.015589714,0.941
19.51611328,19.61881256,19.2383976,19.26947594,6.086236477,0.951
19.73921204,19.84153175,19.46232605,19.49387741,6.156835079,0.961
19.96261024,20.0654583,19.68661308,19.71855164,6.227441788,0.971
20.18645668,20.28986931,19.91114235,19.94341087,6.298069954,0.981
