"Car.Distance","Car.LongSlipFL","Car.LongSlipFR","Car.LongSlipRL","Car.LongSlipRR","Time","Vhcl.FL.Trq_Brake","Vhcl.FR.Trq_Brake","Vhcl.RL.Trq_Brake","Vhcl.RR.Trq_Brake"
"C1","C1","C1","C1","C1","C1","C1","C1","C1","C1"
"m","","","","","s","Nm","Nm","Nm","Nm"
0.05777766689,0.02952751517,0.03372969851,0.01955474541,0.02085574903,0.301,0,0,0,0
0.06601725937,0.0338706784,0.04022508487,0.02028648183,0.02164036408,0.311,0,0,0,0
0.07503143085,0.03976883367,0.05155478418,0.02100144513,0.02241308428,0.321,0,0,0,0
0.08484977849,0.04734380916,0.09678760171,0.02181876823,0.02322525904,0.331,0,0,0,0
0.09549353108,0.05410483852,0.2313579619,0.02294390649,0.02417819761,0.341,0,0,0,0
0.1069798955,0.07319884002,0.4009493887,0.02403862029,0.02539587021,0.351,0,0,0,0
0.1193255641,0.1418763846,0.5750904679,0.02526508458,0.026995847,0.361,0,0,0,0
0.1325447749,0.2470562458,0.7365237474,0.02651692182,0.02855629101,0.371,0,0,0,0
0.1466566054,0.3477053046,0.8806834221,0.02778680436,0.02988436073,0.381,0,0,0,0
0.1616816845,0.4409711957,1.010327935,0.02847844921,0.03072676249,0.391,0,0,0,0
0.1776375443,0.5332282782,1.13248086,0.02903605066,0.03147086501,0.401,0,0,0,0
0.1945405314,0.6155768037,1.240207434,0.02649322897,0.02870933339,0.411,0,0,0,0
0.2123886196,0.6018692851,1.25123775,0.02337162197,0.02458151616,0.421,0,0,0,0
0.2311455215,0.5344430804,1.208625197,0.02235937491,0.02359793708,0.431,0,0,0,0
0.2507937585,0.4672223926,1.164987922,0.02142313868,0.02246313915,0.441,0,0,0,0
0.2713244702,0.4051823318,1.125024199,0.02060477622,0.02153338864,0.451,0,0,0,0
0.2927307449,0.348095417,1.088436127,0.01992042921,0.0207724832,0.461,0,0,0,0
0.3150067061,0.2954607308,1.054713011,0.01934768446,0.0201110933,0.471,0,0,0,0
0.3381472815,0.2467946559,1.023413301,0.01887203753,0.01958075538,0.481,0,0,0,0
0.3621481046,0.2016466558,0.9941487908,0.01850912906,0.01914220117,0.491,0,0,0,0
0.3870135248,0.2029765695,1.008793473,0.01961109228,0.02007388882,0.501,0,0,0,0
0.4127710213,0.1994062662,1.017028809,0.01900532842,0.01972439513,0.511,0,0,0,0
0.4394082748,0.1696383506,0.9980548024,0.01877597906,0.01934363507,0.521,0,0,0,0
0.4669167506,0.1333486438,0.9712100625,0.0185332112,0.01911800541,0.531,0,0,0,0
0.4952917913,0.09579891711,0.9418891072,0.0183587987,0.01892674714,0.541,0,0,0,0
0.5245300449,0.05641714856,0.9128721952,0.01840485074,0.01899505034,0.551,0,0,0,0
0.5546316481,0.0263541881,0.8848726749,0.01721095294,0.01773339137,0.561,0,0,0,0
0.585572098,0.03049056791,0.8300958276,0.0175651703,0.01816823334,0.571,0,0,0,0
0.6173358136,0.02980922163,0.7782492638,0.01751480624,0.01811040379,0.581,0,0,0,0
0.649923704,0.02992560156,0.7287364602,0.01754661649,0.01811521314,0.591,0,0,0,0
0.6833345198,0.02994920127,0.6812229753,0.01757146232,0.01812341809,0.601,0,0,0,0
0.7175675071,0.02992457338,0.6358103752,0.01757809892,0.01812916435,0.611,0,0,0,0
0.7526216928,0.0298639778,0.5924554467,0.01756968349,0.01812111214,0.621,0,0,0,0
0.7884957087,0.02996104397,0.5515794158,0.01743154228,0.01798272878,0.631,0,0,0,0
0.8251866523,0.02997597493,0.5133878589,0.01729899086,0.01784896292,0.641,0,0,0,0
