Car.WheelSpd_FL,Car.WheelSpd_FR,Car.WheelSpd_RL,Car.WheelSpd_RR,Car.v,Time,V0,acceleration,Mean acc.,ABS Efficiency
C1,C1,C1,C1,C1,C1,,,,
rad/s,rad/s,rad/s,rad/s,m/s,s,m/s,m/s/s,m/s/s,-
7.43193641E-06,7.582520539E-06,7.481505691E-06,7.595977877E-06,1.939592721E-06,0.011,33.19496918,0.0002677908697,-7.40308453870968,-0.754646741968367
5.117020464E-06,5.39791472E-06,5.175969363E-06,5.405037882E-06,4.617501418E-06,0.021,1215,0.0004950609309,,
0.0005937644746,0.0005941032432,0.000613572367,0.0006139344187,9.568110727E-06,0.031,,0.0011477642143,,
0.007716611028,0.007754922379,0.008000699803,0.008023698814,2.104575287E-05,0.041,0.9*V0,0.001226913992,,
0.01944518276,0.01981061138,0.02044013515,0.0206598565,3.331489279E-05,0.051,1577,0.023367907851,,
0.03313642368,0.03437243775,0.03656446561,0.037321724,0.0002669939713,0.061,,0.10294964597,,
0.05232600495,0.05482080206,0.06153311953,0.06302638352,0.001296490431,0.071,0.8 * V0,0.3548722248,,
0.0674007535,0.07078055292,0.08308333904,0.08519545197,0.004845212679,0.081,1592,0.7918622811,,
0.07355515659,0.07610781491,0.07873100787,0.08069843054,0.01276383549,0.091,,0.797678344,,
0.1056548581,0.1074484885,0.08894471824,0.09080328047,0.02074061893,0.101,0.05 * V0,0.916284695,,
0.1386097074,0.14059861,0.1224329546,0.1245262846,0.02990346588,0.111,1607,1.11930687,,
0.1825969219,0.1841385961,0.1578334123,0.1595562696,0.04109653458,0.121,,1.329072937,,
0.231538564,0.2327138335,0.2018514574,0.2032946944,0.05438726395,0.131,,1.543639601,,
0.2876178026,0.2887928486,0.2532278299,0.2545536458,0.06982365996,0.141,,1.769379526,,
0.3507163823,0.351878643,0.3121519983,0.3134828806,0.08751745522,0.151,,2.006436888,,
0.4211627543,0.4222649634,0.379409641,0.3807451427,0.1075818241,0.161,,2.3446396,,
0.5012863278,0.5024477839,0.4573456049,0.458814919,0.1310282201,0.171,,2.72121429,,
0.5923855901,0.5933505297,0.5475000143,0.5492439866,0.158240363,0.181,,3.10615003,,
0.6943066716,0.6951450706,0.6499567628,0.6520701051,0.1893018633,0.191,,3.49560678,,
0.8072850704,0.8080598712,0.7643675804,0.7669891715,0.2242579311,0.201,,3.88349146,,
0.9335058928,0.9345456958,0.8893709183,0.8926543593,0.2630928457,0.211,,4.27797138,,
1.072660685,1.07423234,1.021786213,1.025857568,0.3058725595,0.221,,4.65979577,,
1.225176811,1.227509379,1.166302323,1.171432972,0.3524705172,0.231,,5.03644645,,
1.391383767,1.394454598,1.325205088,1.331272244,0.4028349817,0.241,,5.41187525,,
1.571571469,1.575300694,1.498009443,1.505091071,0.4569537342,0.251,,5.78604638,,
1.765884876,1.770437598,1.684194684,1.692285895,0.514814198,0.261,,6.15870357,,
1.974283814,1.980213761,1.883347869,1.892566919,0.5764012337,0.271,,6.52896166,,
2.196962118,2.205346346,2.094715595,2.10529542,0.6416908503,0.281,,6.89095258,,
2.434317589,2.44616437,2.318177223,2.329885006,0.7106003761,0.291,,7.23885298,,
2.686384201,2.703490019,2.553195477,2.565927982,0.7829889059,0.301,,7.57182837,,
2.953681469,2.980594873,2.798923731,2.812686682,0.8587071896,0.311,,7.88705349,,
3.237205982,3.289829016,3.054730177,3.069360971,0.9375777245,0.321,,8.14701315000001,,
3.533946753,3.761671305,3.32002306,3.33360219,1.019047856,0.331,,8.32098729999999,,
3.832935572,4.58472681,3.593479872,3.601427317,1.102257729,0.341,,8.52018590000001,,
4.144622326,5.613771915,3.873784781,3.875417233,1.187459588,0.351,,8.71765609999999,,
4.495483875,6.792085648,4.160430431,4.156829357,1.274636149,0.361,,8.87613300000001,,
5.011638641,8.062466621,4.451449871,4.446527958,1.363397479,0.371,,9.0143442,,
5.774130344,9.35406208,4.744832039,4.7441926,1.453540921,0.381,,9.20724869999998,,
6.596930981,10.64680767,5.042500973,5.045136452,1.545613408,0.391,,9.37410590000001,,
7.472364902,11.97558689,5.346234322,5.352368355,1.639354467,0.401,,9.53860290000002,,
8.367506027,13.31663322,5.646044731,5.654530048,1.734740496,0.411,,9.34081069999999,,
8.763896942,14.15954018,5.918001652,5.919092655,1.828148603,0.421,,9.0017915,,
8.727722168,14.57152176,6.195755959,6.197500229,1.918166518,0.431,,8.88282060000001,,
8.634725571,14.92582035,6.469332695,6.46931839,2.006994724,0.441,,8.80517959999998,,
8.53468132,15.26957321,6.740404129,6.739509583,2.09504652,0.451,,8.7413073,,
8.433227539,15.60659218,7.010178566,7.008497238,2.182459593,0.461,,8.68575570000001,,
8.332231522,15.93731117,7.279908657,7.276374817,2.26931715,0.471,,8.63683220000002,,
8.234286308,16.26191521,7.549216747,7.54285574,2.355685472,0.481,,8.60579019999999,,
8.1127491,16.58803368,7.819849491,7.809287548,2.441743374,0.491,,8.7291241,,
8.442195892,17.19089699,8.103923798,8.090251923,2.529034615,0.501,,8.92856119999999,,
8.624660492,17.86766815,8.385004997,8.367001534,2.618320227,0.511,,8.68182180000003,,
8.792615891,18.22363663,8.649291992,8.627099037,2.705138445,0.521,,8.38747019999997,,
9.048219681,18.27168465,8.911752701,8.8929739,2.789013147,0.531,,8.34724910000002,,
9.290620804,18.26525116,9.172084808,9.155117035,2.872485638,0.541,,8.32223889999999,,
9.53754425,18.22380829,9.433249474,9.417396545,2.955708027,0.551,,8.3143711,,
9.786421776,18.16511917,9.694355965,9.679581642,3.038851738,0.561,,8.31024650000001,,
10.03760433,18.09807205,9.955342293,9.941179276,3.121954203,0.571,,8.30144879999999,,
10.29109001,18.02492905,10.21728516,10.20336819,3.204968691,0.581,,8.28957560000001,,
10.54697418,17.94775009,10.47967815,10.4659338,3.287864447,0.591,,8.27615260000001,,
10.80495358,17.86915588,10.74193478,10.72843075,3.370625973,0.601,,8.26120370000001,,
11.06471252,17.79110336,11.00365543,10.99050236,3.45323801,0.611,,8.24420459999997,,
11.32547188,17.7161541,11.26452923,11.25175476,3.535680056,0.621,,8.2216501,,
11.58776188,17.64699364,11.52387428,11.51135063,3.617896557,0.631,,8.185792,,
11.85094547,17.58870316,11.78108597,11.76888943,3.699754477,0.641,,8.144164,,
12.11327457,17.53977203,12.03654671,12.02486229,3.781196117,0.651,,8.10446740000002,,
12.37489414,17.49940872,12.29036903,12.27958775,3.862240791,0.661,,8.06801319999999,,
12.63572121,17.46797562,12.54268169,12.53291512,3.942920923,0.671,,8.03387170000001,,
12.89573479,17.44532394,12.79362774,12.78492451,4.02325964,0.681,,8.00161360000002,,
13.15492153,17.43112564,13.0433321,13.0357399,4.103275776,0.691,,7.97071459999996,,
13.4132719,17.4250145,13.29189873,13.2854681,4.182982922,0.701,,7.9411983,,
13.67077446,17.42663956,13.53941059,13.53420448,4.262394905,0.711,,7.91277890000002,,
13.92740917,17.4356823,13.78596687,13.78202534,4.341522694,0.721,,7.8851223,,
14.18325615,17.45174217,14.03170395,14.02898788,4.420373917,0.731,,7.85851470000001,,
14.4382658,17.47462654,14.27652168,14.27517796,4.498959064,0.741,,7.83281330000003,,
14.69237137,17.50422859,14.52046585,14.52063942,4.577287197,0.751,,7.80763629999992,,
14.94559097,17.54029274,14.76360893,14.76545143,4.65536356,0.761,,7.78288840000005,,
15.1979475,17.58262062,15.00602818,15.00962257,4.733192444,0.771,,7.75847430000001,,
15.44941902,17.63110733,15.24778271,15.2531662,4.810777187,0.781,,7.73406029999997,,
15.70002079,17.68565178,15.48885822,15.49615765,4.88811779,0.791,,7.70978930000004,,
15.95006943,17.74577141,15.72925854,15.73862267,4.965215683,0.801,,7.68599509999994,,
16.19994545,17.81095886,15.96902084,15.98057365,5.042075634,0.811,,7.66267780000005,,
16.44895363,17.88189888,16.20820045,16.22196579,5.118702412,0.821,,7.63850210000001,,
16.69677734,17.9594059,16.4467411,16.46273232,5.195087433,0.831,,7.61303899999994,,
16.94423294,18.04236031,16.68468285,16.70297813,5.271217823,0.841,,7.59029390000006,,
17.19278908,18.12725449,16.92230797,16.94299889,5.347120762,0.851,,7.5975895,,
17.45506096,18.18018723,17.16302872,17.18670845,5.423096657,0.861,,7.65852929999999,,
17.72796249,18.21180725,17.40456009,17.43161964,5.49968195,0.871,,7.68656729999995,,
17.98752594,18.26508904,17.64599419,17.67565155,5.576547623,0.881,,7.64970780000001,,
18.22830391,18.36927032,17.8824482,17.91362953,5.653044701,0.891,,7.50417710000004,,
18.43168449,18.55466843,18.11383247,18.1445713,5.728086472,0.901,,7.33413689999995,,
18.6411972,18.75524521,18.34183311,18.37184525,5.801427841,0.911,,7.2069645,,
18.85451508,18.96513176,18.56729126,18.59693336,5.873497486,0.921,,7.12623600000004,,
19.07247543,19.18002129,18.7913475,18.82118225,5.944759846,0.931,,7.08298679999997,,
19.29368401,19.39786148,19.01484871,19.04535675,6.015589714,0.941,,7.06467630000001,,
19.51611328,19.61881256,19.2383976,19.26947594,6.086236477,0.951,,7.05986020000005,,
19.73921204,19.84153175,19.46232605,19.49387741,6.156835079,0.961,,7.06067089999998,,
19.96261024,20.0654583,19.68661308,19.71855164,6.227441788,0.971,,7.06281659999997,,
20.18645668,20.28986931,19.91114235,19.94341087,6.298069954,0.981,,7.0644379,,
20.41081619,20.51443863,20.13578606,20.16835213,6.368714333,0.991,,7.06462860000006,,
20.63554573,20.73921204,20.36045265,20.39330864,6.439360619,1.001,,7.06372259999997,,
20.86049271,20.96424103,20.58510971,20.61820412,6.509997845,1.011,,7.06200600000004,,
21.08560753,21.1895504,20.80973244,20.84300423,6.580617905,1.021,,7.05995559999995,,
21.3108654,21.41516495,21.03431129,21.0676918,6.651217461,1.031,,7.05766670000001,,
21.53628349,21.64105034,21.25884247,21.29226875,6.721794128,1.041,,7.05547339999999,,
21.76187515,21.86717033,21.48332787,21.5167408,6.792348862,1.051,,7.05337520000002,,
21.98764229,22.09349251,21.7077713,21.74111366,6.862882614,1.061,,7.05151559999999,,
22.21356773,22.32001305,21.9321785,21.96539879,6.93339777,1.071,,7.04984660000001,,
22.43962288,22.54672623,22.15655327,22.18959999,7.003896236,1.081,,7.04832079999997,,
22.66579437,22.77361488,22.38090134,22.4137249,7.074379444,1.091,,7.04703330000003,,
22.89207649,23.0006485,22.60522461,22.63778305,7.144849777,1.101,,7.04588890000002,,
23.11844826,23.22784805,22.82951927,22.86177444,7.215308666,1.111,,7.04479219999996,,
23.34491158,23.45516777,23.05379486,23.08571243,7.285756588,1.121,,7.04388620000005,,
23.57152939,23.68253517,23.27804375,23.30959511,7.35619545,1.131,,7.04307549999994,,
23.79821205,23.90998459,23.50227928,23.53343773,7.426626205,1.141,,7.04240800000004,,
24.02496147,24.13749504,23.72649574,23.75724411,7.497050285,1.151,,7.04188349999999,,
24.2517643,24.36505318,23.95069885,23.98101616,7.56746912,1.161,,7.04150199999996,,
24.47861671,24.59264565,24.1748867,24.20476151,7.63788414,1.171,,7.0412159,,
24.70551491,24.82026291,24.3990612,24.42848587,7.708296299,1.181,,7.04092980000004,,
24.93245125,25.04789543,24.62321663,24.65218735,7.778705597,1.191,,7.04059600000004,,
25.15901184,25.27510452,24.84707451,24.87558174,7.849111557,1.201,,7.03568459999993,,
25.38365936,25.49979401,25.07022667,25.09824562,7.919468403,1.211,,7.02257150000003,,
25.60671616,25.72221565,25.2925415,25.32006073,7.989694118,1.221,,7.0032597,,
25.82812119,25.94269371,25.51390266,25.54091263,8.059726715,1.231,,6.97898870000007,,
26.04748917,26.16071701,25.73410988,25.76060104,8.129516602,1.241,,6.95009229999997,,
26.26501083,26.37655258,25.95311928,25.97909737,8.199017525,1.251,,6.91757200000005,,
26.48061371,26.59071732,26.17084122,26.19631195,8.268193245,1.261,,6.88199999999988,,
26.69410896,26.80193901,26.38696289,26.41193008,8.337013245,1.271,,6.8413734,,
26.90530396,27.01031113,26.60150719,26.62598991,8.405426979,1.281,,6.79721830000002,,
27.11414719,27.21662712,26.814394,26.83841896,8.473399162,1.291,,6.75067899999995,,
27.3208065,27.42095566,27.02566338,27.04928207,8.540905952,1.301,,6.70318610000003,,
27.5258503,27.6230793,27.23530388,27.25852203,8.607937813,1.311,,6.65521620000007,,
27.72911644,27.82353401,27.44332504,27.46614647,8.674489975,1.321,,6.6069602999999,,
27.93046761,28.02243805,27.6497612,27.67220306,8.740559578,1.331,,6.55946730000014,,
28.13015938,28.21949196,27.85463333,27.87673187,8.806154251,1.341,,6.5122603999999,,
28.32830048,28.41514015,28.05785942,28.07963943,8.871276855,1.351,,6.46457680000001,,
28.52500725,28.60918427,28.2595253,28.2810154,8.935922623,1.361,,6.41756050000009,,
28.72007751,28.80164146,28.45964241,28.48086739,9.000098228,1.371,,6.37111669999992,,
28.91347504,28.99279594,28.65819168,28.67917061,9.063809395,1.381,,6.32438660000005,,
29.10534668,29.18272018,28.85516548,28.87591362,9.127053261,1.391,,6.27784729999998,,
29.29634857,29.37098503,29.05071259,29.07122803,9.189831734,1.401,,6.23292919999994,,
29.48612595,29.55847549,29.24494934,29.26524353,9.252161026,1.411,,6.19049070000006,,
29.67461205,29.74543762,29.43782043,29.45791626,9.314065933,1.421,,6.14948270000006,,
29.86203766,29.9312191,29.62941551,29.64937401,9.37556076,1.431,,6.10980989999987,,
30.04865646,30.11583519,29.81972313,29.83957863,9.436658859,1.441,,6.0709000000001,,
30.23423958,30.2994175,30.00881767,30.02856064,9.497367859,1.451,,6.03227610000001,,
30.41853333,30.48243904,30.19663811,30.21624947,9.55769062,1.461,,5.99403389999988,,
30.60177994,30.66427422,30.3832798,30.40276718,9.617630959,1.471,,5.95645900000008,,
30.78388214,30.84505081,30.56871605,30.58808899,9.677195549,1.481,,5.91897960000001,,
30.96508408,31.02465439,30.75292778,30.77217865,9.736385345,1.491,,5.88150029999994,,
31.14514732,31.20353699,30.93589592,30.95500755,9.795200348,1.501,,5.84392549999997,,
